customerNumber (CIF),cardLast4Digits,transactionDate,transactionTime,transactionAmount,transactionType,merchantName,merchantCity,merchantState,merchantZip,stateCode
86516321,1672,07/29/2021,21:14,92402,americanexpress,Leenti,Washington,District of Columbia,2380,DC
15820418,2404,11/29/2021,4:43,71968,jcb,Yabox,Washington,District of Columbia,4578,DC
75976426,4896,07/03/2021,7:59,8966,visa,Browsebug,Honolulu,Hawaii,8008,HI
58024811,3022,01/20/2022,1:22,66574,mastercard,Eare,Huntsville,Alabama,2673,AL
91084704,7502,02/19/2022,9:48,98773,mastercard,Ooba,Nashville,Tennessee,7955,TN
53013674,5263,05/06/2021,2:13,16158,mastercard,DabZ,Birmingham,Alabama,2966,AL
85287924,5901,07/18/2021,9:59,73355,visa-electron,Mita,Philadelphia,Pennsylvania,6162,PA
21279608,8346,11/10/2021,9:48,27246,mastercard,Linklinks,Dearborn,Michigan,8012,MI
73545953,5628,03/23/2022,15:26,88513,china-unionpay,Oyoloo,Norman,Oklahoma,7343,OK
14985929,3293,07/04/2021,17:58,95257,bankcard,Leexo,New York City,New York,1536,NY
93664528,9315,07/03/2021,15:28,94150,diners-club-enroute,Snaptags,San Francisco,California,5550,CA
80185001,7684,07/16/2021,20:45,74060,jcb,Skinix,Huntsville,Alabama,5454,AL
44364124,6929,05/26/2021,21:26,19638,maestro,Skinder,San Francisco,California,7121,CA
73978688,3783,04/15/2021,9:06,16432,jcb,Topiclounge,New Haven,Connecticut,6154,CT
73932032,2609,10/05/2021,8:40,27365,bankcard,Yabox,Naples,Florida,8338,FL
38281225,5066,08/01/2021,3:58,75061,jcb,Wikido,Athens,Georgia,4950,GA
97293367,3789,01/24/2022,4:17,54589,switch,Layo,Anaheim,California,4545,CA
41991468,9082,05/16/2021,13:19,83727,instapayment,Tagpad,New York City,New York,4615,NY
67202947,4053,07/29/2021,19:11,6381,maestro,Avamba,San Diego,California,3251,CA
69789341,9196,06/22/2021,3:26,60803,bankcard,Zoonoodle,Tacoma,Washington,3908,WA
25846891,6091,11/12/2021,15:46,18108,jcb,Dabvine,New Orleans,Louisiana,1900,LA
74876024,6362,09/15/2021,15:15,50835,jcb,Edgeify,Memphis,Tennessee,7245,TN
13975158,6377,03/21/2022,11:42,8240,jcb,Demizz,Grand Rapids,Michigan,2166,MI
49589480,8713,01/17/2022,8:30,90913,maestro,Thoughtmix,Portland,Maine,3384,ME
15472954,8901,09/01/2021,2:45,11330,jcb,Meeveo,Frankfort,Kentucky,2590,KY
43114667,7117,10/24/2021,19:20,99998,mastercard,Lajo,Birmingham,Alabama,7902,AL
34109119,3316,06/20/2021,11:16,31440,solo,Youspan,Knoxville,Tennessee,8689,TN
