customerNumber (CIF),cardLast4Digits,transactionDate,transactionTime,transactionAmount,transactionType,merchantName,merchantCity,merchantState,merchantZip,stateCode
30984520,2297,11/08/2021,1:48,6433,mastercard,Vidoo,Dallas,Texas,6716,TX
29429337,8470,10/08/2021,19:40,94789,americanexpress,Skaboo,Chattanooga,Tennessee,7084,TN
46921352,9797,11/12/2021,22:51,70310,diners-club-enroute,Kazu,New York City,New York,4944,NY
55849091,2502,03/08/2022,3:14,66641,jcb,Thoughtbeat,Montgomery,Alabama,5831,AL
52875793,6173,08/26/2021,11:12,53627,mastercard,Tagfeed,Minneapolis,Minnesota,5701,MN
82739279,3381,07/30/2021,20:26,88174,visa-electron,Yakitri,Saint Petersburg,Florida,2112,FL
11358341,6333,07/22/2021,8:45,23347,diners-club-enroute,Eire,Spokane,Washington,8443,WA
23898611,9635,12/18/2021,16:42,74706,jcb,Mycat,Washington,District of Columbia,7563,DC
82515453,2784,10/03/2021,11:40,49714,switch,Yozio,Akron,Ohio,2760,OH
88199785,2342,05/06/2021,14:47,84342,diners-club-enroute,Aivee,Miami,Florida,2667,FL
61721737,3462,05/17/2021,22:08,54510,americanexpress,Photolist,Torrance,California,8756,CA
55253971,9036,05/06/2021,6:41,4124,switch,Janyx,Charlotte,North Carolina,2594,NC
95696831,7670,05/14/2021,10:34,9732,visa,BlogXS,Lexington,Kentucky,4579,KY
23801174,7576,05/26/2021,13:29,13136,switch,Wordtune,Portland,Oregon,8851,OR
89964342,6984,08/22/2021,22:43,76564,diners-club-enroute,Skipstorm,Sioux City,Iowa,6586,IA
63781673,4025,08/11/2021,17:45,11879,mastercard,Cogilith,Cedar Rapids,Iowa,6973,IA
67677537,7005,12/21/2021,0:40,5625,mastercard,Topicware,Denver,Colorado,4656,CO
43054676,6975,01/25/2022,13:29,25409,diners-club-carte-blanche,Gigaclub,Shawnee Mission,Kansas,2799,KS
94447760,3845,08/18/2021,13:55,79608,diners-club-carte-blanche,Gigazoom,Largo,Florida,6657,FL
38152356,3160,03/11/2022,9:45,22206,instapayment,Zoovu,Duluth,Minnesota,2287,MN
65146486,1901,02/02/2022,16:46,19933,jcb,Skajo,Jacksonville,Florida,9378,FL
41988493,3782,04/15/2021,2:13,62962,jcb,Skivee,Henderson,Nevada,4488,NV
79610038,4824,05/27/2021,6:42,73741,diners-club-carte-blanche,Jetpulse,Pittsburgh,Pennsylvania,8775,PA
18914999,1685,09/01/2021,4:49,18078,solo,Youopia,Aurora,Colorado,2492,CO
73376718,5810,10/27/2021,9:46,25016,americanexpress,Eamia,Shawnee Mission,Kansas,9887,KS
12347785,1917,11/10/2021,1:48,88340,jcb,Abatz,Elmira,New York,5663,NY
27429233,3368,05/11/2021,16:33,69493,maestro,Tavu,Richmond,Virginia,9365,VA
58741994,8296,06/17/2021,6:48,59877,china-unionpay,Meetz,Palmdale,California,6051,CA
69454128,5512,03/06/2022,6:59,98168,jcb,Lazz,Anchorage,Alaska,2509,AK
95998070,1931,11/17/2021,23:55,48330,mastercard,Blogtags,Columbus,Ohio,2864,OH
35176428,3418,05/15/2021,3:23,56097,diners-club-enroute,Eazzy,Lakeland,Florida,7054,FL
83378481,3004,04/03/2022,10:27,99271,jcb,Yozio,Panama City,Florida,7842,FL
57804250,8808,04/24/2021,4:25,60093,laser,Blogtag,San Francisco,California,8466,CA
29584208,3875,09/25/2021,11:54,73427,jcb,Kazu,Tallahassee,Florida,5618,FL
65601853,1270,10/30/2021,3:57,36003,diners-club-international,Ozu,Houston,Texas,5792,TX
71319482,1911,12/28/2021,1:06,39390,visa-electron,Flashspan,Austin,Texas,9706,TX
14720492,3972,12/08/2021,19:59,59258,jcb,Flipbug,Saint Louis,Missouri,6305,MO
27922587,2360,02/18/2022,13:55,30609,jcb,Youfeed,Jacksonville,Florida,2876,FL
81625401,1694,08/27/2021,10:20,48358,diners-club-enroute,Roombo,Madison,Wisconsin,4957,WI
42630182,9062,02/22/2022,22:00,99089,jcb,Mynte,Jackson,Mississippi,6543,MS
67745290,5416,01/09/2022,11:22,68381,jcb,Divanoodle,Waco,Texas,5807,TX
25763701,4033,10/10/2021,17:03,9517,americanexpress,Eamia,San Francisco,California,7840,CA
90602357,2271,10/08/2021,17:40,56598,visa-electron,Topiclounge,Cleveland,Ohio,3231,OH
