customerNumber (CIF),cardLast4Digits,transactionDate,transactionTime,transactionAmount,transactionType,merchantName,merchantCity,merchantState,merchantZip,stateCode
39702639,9491,03/01/2022,4:59,21004,solo,Wikizz,Chula Vista,California,7960,CA
42414948,4062,10/05/2021,5:03,57811,jcb,Camido,Boca Raton,Florida,4101,FL
32715770,5054,01/12/2022,18:01,89348,china-unionpay,Meevee,Richmond,Virginia,9236,VA
40443826,7901,02/27/2022,6:10,79772,jcb,Camido,Amarillo,Texas,9659,TX
11600480,9816,04/21/2021,4:26,96549,jcb,Topicshots,Kansas City,Missouri,9632,MO
86806698,1714,06/10/2021,14:39,48051,jcb,Agivu,Trenton,New Jersey,9014,NJ
84225332,5639,12/11/2021,7:48,52431,jcb,Photolist,Portland,Oregon,4034,OR
59963101,2908,12/20/2021,20:36,27119,diners-club-enroute,Livetube,Bradenton,Florida,9353,FL
22566919,6209,08/06/2021,11:30,1752,visa,Youopia,Louisville,Kentucky,7495,KY
13401654,1626,08/19/2021,13:16,99051,jcb,Oyoloo,Conroe,Texas,3949,TX
12885635,2901,05/02/2021,12:26,76783,laser,Zoomlounge,Newark,Delaware,3771,DE
27089597,8009,03/17/2022,10:40,50846,switch,Jabbertype,Brooklyn,New York,7210,NY
88706062,5176,10/29/2021,16:41,94190,jcb,Youopia,Wichita,Kansas,4305,KS
76086402,3453,08/26/2021,22:51,21502,mastercard,Skyba,Ridgely,Maryland,5951,MD
47397141,4160,03/09/2022,13:18,31924,jcb,Photolist,Maple Plain,Minnesota,2450,MN
35036116,3684,08/19/2021,19:23,34139,jcb,Feedfire,Wichita Falls,Texas,6553,TX
66119277,9560,09/11/2021,10:00,56456,diners-club-us-ca,Twitterbeat,Cincinnati,Ohio,9617,OH
48505850,9480,12/05/2021,8:50,97056,jcb,Reallinks,Chicago,Illinois,4869,IL
62385319,1589,01/31/2022,4:22,78575,jcb,Babbleblab,Huntsville,Alabama,4528,AL
27560237,1343,12/19/2021,18:32,65341,china-unionpay,Eidel,Saint Paul,Minnesota,4922,MN
56768341,3819,09/01/2021,5:02,72895,diners-club-enroute,Quatz,Arlington,Texas,2148,TX
47763063,8291,12/20/2021,15:30,21573,visa-electron,Gabtype,Fort Lauderdale,Florida,8466,FL
39502353,4773,07/13/2021,13:54,31020,mastercard,Zooveo,Seattle,Washington,9577,WA
53300746,4637,08/25/2021,8:05,51240,diners-club-enroute,Zoomlounge,Wichita,Kansas,1287,KS
47479877,9365,06/18/2021,21:40,56595,mastercard,Kayveo,San Diego,California,9461,CA
86554901,9366,03/28/2022,9:55,97915,bankcard,Buzzster,Tucson,Arizona,3877,AZ
85173732,6141,12/15/2021,18:35,52225,jcb,Skilith,Anaheim,California,7896,CA
26081351,9093,03/07/2022,19:23,77275,diners-club-carte-blanche,Trudoo,Shawnee Mission,Kansas,6199,KS
88968238,3579,07/02/2021,13:08,89508,jcb,Tanoodle,Louisville,Kentucky,2841,KY
29590436,1415,03/07/2022,2:20,31380,laser,Browseblab,Beaumont,Texas,8362,TX
64011958,3166,11/21/2021,1:19,65335,china-unionpay,Fanoodle,Flint,Michigan,8904,MI
84391655,5535,11/22/2021,5:02,68966,switch,Shuffledrive,Hagerstown,Maryland,2770,MD
27139479,4246,02/03/2022,22:19,38162,laser,Feedmix,Atlanta,Georgia,3029,GA
21787657,4472,07/21/2021,9:52,30128,jcb,Trudeo,Los Angeles,California,9868,CA
48490314,1193,12/02/2021,2:18,60287,bankcard,Edgeify,New York City,New York,1129,NY
