customerNumber (CIF),cardLast4Digits,transactionDate,transactionTime,transactionAmount,transactionType,merchantName,merchantCity,merchantState,merchantZip,stateCode
18546029,9277,01/05/2022,8:59,47240,laser,Jaxspan,Las Vegas,Nevada,6971,NV
59306199,2530,03/01/2022,22:55,24357,visa,Gabvine,Oakland,California,4050,CA
30162177,6771,06/06/2021,13:37,82230,switch,Edgeclub,Flushing,New York,5994,NY
66303768,5175,08/24/2021,6:59,99231,maestro,Dynazzy,Spring Hill,Florida,4284,FL
37310628,7534,05/18/2021,1:34,52362,switch,Zava,Colorado Springs,Colorado,6594,CO
43852665,2218,07/20/2021,21:06,3189,maestro,Yakidoo,Erie,Pennsylvania,3952,PA
65337056,2113,12/19/2021,11:17,3242,jcb,Zoovu,Saint Paul,Minnesota,4472,MN
71914771,4916,02/26/2022,13:27,75702,jcb,Gevee,Edmond,Oklahoma,5594,OK
81257757,7304,03/14/2022,9:01,33376,china-unionpay,Flashpoint,Tyler,Texas,3030,TX
31050398,4693,08/15/2021,15:20,44372,jcb,Gabtune,New York City,New York,8950,NY
67501196,9554,10/26/2021,11:04,18603,jcb,Twitterlist,Lansing,Michigan,4636,MI
47354922,6807,03/17/2022,22:14,53596,jcb,Divavu,Reston,Virginia,3028,VA
41975561,2855,03/09/2022,20:57,73851,jcb,Jetpulse,Reading,Pennsylvania,9884,PA
92253688,1375,02/26/2022,1:00,7365,jcb,Yodoo,Detroit,Michigan,3294,MI
30558997,8864,10/15/2021,6:50,96883,jcb,Trilith,Milwaukee,Wisconsin,2079,WI
76995631,9168,11/17/2021,7:56,1424,jcb,Fivebridge,Chicago,Illinois,8944,IL
29379245,4651,10/31/2021,16:34,88969,jcb,Topicware,Louisville,Kentucky,4569,KY
75910388,9048,12/24/2021,9:43,2138,visa-electron,Skyba,Helena,Montana,1446,MT
21357181,5902,02/06/2022,19:48,14940,jcb,Fiveclub,Dearborn,Michigan,9753,MI
45584351,2581,08/23/2021,21:06,4320,laser,Lazz,Hartford,Connecticut,8592,CT
27331295,4149,09/26/2021,7:46,332,bankcard,Dynava,Lincoln,Nebraska,7685,NE
58547050,8676,11/15/2021,5:52,39600,laser,Thoughtstorm,Orlando,Florida,7608,FL
17015670,5166,11/12/2021,6:52,174,jcb,Ooba,Wichita,Kansas,8638,KS
48098356,3415,07/16/2021,1:18,15134,jcb,Vimbo,London,Kentucky,6691,KY
72910633,1702,10/10/2021,16:56,59087,jcb,Youfeed,Saint Paul,Minnesota,6124,MN
33906243,5565,02/18/2022,3:21,34270,visa-electron,Skaboo,San Antonio,Texas,5206,TX
62256046,7920,05/09/2021,8:49,27344,jcb,Quamba,Billings,Montana,3364,MT
88107245,4599,07/11/2021,3:39,8377,jcb,Wikizz,Washington,District of Columbia,8530,DC
40724800,1937,04/02/2022,6:01,81028,china-unionpay,Rhybox,Saint Petersburg,Florida,8559,FL
85982757,2997,01/03/2022,13:18,57518,americanexpress,Bluezoom,Scranton,Pennsylvania,9128,PA
53035093,6068,11/08/2021,21:01,25678,jcb,Skyba,Garland,Texas,6524,TX
55920493,8060,01/17/2022,1:56,32801,maestro,Babbleblab,Saint Louis,Missouri,9781,MO
58078577,9300,10/01/2021,1:15,90127,bankcard,Gabtype,Indianapolis,Indiana,9551,IN
66842785,5344,06/02/2021,1:05,19293,jcb,Skinte,Anchorage,Alaska,8915,AK
39020115,3859,12/10/2021,21:07,98258,americanexpress,Zoozzy,Waterbury,Connecticut,3324,CT
46212205,9066,06/18/2021,23:13,1577,diners-club-us-ca,DabZ,Nashville,Tennessee,5443,TN
42873502,9829,03/29/2022,16:03,54774,jcb,Quatz,Chicago,Illinois,5634,IL
57772314,8744,08/16/2021,13:18,30211,diners-club-carte-blanche,Babblestorm,Omaha,Nebraska,1854,NE
88128819,6176,11/05/2021,6:59,21870,bankcard,Latz,Waco,Texas,3778,TX
25318409,6053,06/08/2021,10:55,38834,switch,Ailane,Cincinnati,Ohio,6703,OH
53513660,5475,09/24/2021,19:56,26706,bankcard,Riffpedia,El Paso,Texas,2855,TX
39186714,9121,08/22/2021,19:37,78966,jcb,Centidel,Fort Wayne,Indiana,1669,IN
92577952,3789,02/28/2022,6:41,20162,jcb,Rhynyx,Los Angeles,California,6594,CA
54368960,6326,12/31/2021,22:04,89900,diners-club-carte-blanche,Jabberbean,Jersey City,New Jersey,9290,NJ
94435791,6870,05/21/2021,3:07,87162,maestro,Youbridge,Sacramento,California,4278,CA
82293588,1351,06/08/2021,17:40,62846,jcb,Twitterworks,Battle Creek,Michigan,9671,MI
36916039,9215,05/11/2021,6:04,79192,jcb,Cogibox,Oklahoma City,Oklahoma,9247,OK
50197138,6470,01/21/2022,14:23,41621,jcb,Dabfeed,Amarillo,Texas,6611,TX
47729482,6518,03/24/2022,17:32,94573,mastercard,Yodel,Fort Lauderdale,Florida,2792,FL
35205983,2154,02/20/2022,16:57,94872,jcb,Devcast,Cincinnati,Ohio,5240,OH
19911032,5004,11/18/2021,16:15,77192,jcb,Skinte,Santa Barbara,California,2416,CA
89413122,3628,01/04/2022,16:11,31216,mastercard,Browseblab,Modesto,California,8554,CA
99391668,2891,03/24/2022,22:45,90320,jcb,Twiyo,Las Vegas,Nevada,7380,NV
58334685,4045,06/23/2021,12:34,21230,maestro,Rooxo,Arlington,Texas,9449,TX
63247828,8572,12/29/2021,10:45,95173,jcb,Skinte,Elmira,New York,8718,NY
20732710,7832,06/22/2021,2:34,47372,jcb,Twitterbridge,Columbus,Ohio,4968,OH
86525198,9455,02/03/2022,15:40,91453,jcb,Meetz,Huntsville,Alabama,9818,AL
63044278,4875,05/26/2021,9:09,89544,visa,Realpoint,Carol Stream,Illinois,2211,IL
94934529,7419,12/17/2021,10:56,26651,diners-club-enroute,Skyba,Wilkes Barre,Pennsylvania,2653,PA
97153491,6062,05/29/2021,3:03,57895,americanexpress,Thoughtworks,Minneapolis,Minnesota,1392,MN
80522368,5599,11/30/2021,19:08,49408,mastercard,Agimba,Dulles,Virginia,2418,VA
64053847,8573,04/24/2021,8:36,5643,jcb,Topicware,Springfield,Virginia,8371,VA
77867864,6236,08/04/2021,10:58,40405,bankcard,Youspan,Sacramento,California,3240,CA
59522582,7231,11/30/2021,23:45,15833,americanexpress,Linklinks,Portland,Oregon,8611,OR
32458564,5952,08/09/2021,15:01,31954,jcb,Shufflebeat,Atlanta,Georgia,1708,GA
