customerNumber (CIF),cardLast4Digits,transactionDate,transactionTime,transactionAmount,transactionType,merchantName,merchantCity,merchantState,merchantZip,stateCode
46276492,6902,02/03/2022,16:19,60513,maestro,Skimia,Green Bay,Wisconsin,6201,WI
88767318,1371,06/09/2021,9:05,3390,maestro,Buzzdog,Hialeah,Florida,7127,FL
14800283,5900,01/06/2022,19:33,41410,switch,Skimia,Huntington,West Virginia,7924,WV
41111649,4934,08/28/2021,20:59,49304,bankcard,Skyvu,Oakland,California,2198,CA
67378901,2403,06/22/2021,0:25,24580,mastercard,Jabbercube,Houston,Texas,2781,TX
29095669,6707,01/12/2022,21:32,82018,jcb,Jayo,Colorado Springs,Colorado,6018,CO
50560073,8796,02/02/2022,11:06,65089,jcb,Kwinu,College Station,Texas,2744,TX
80523348,9585,01/26/2022,16:19,31559,visa,Topicblab,Washington,District of Columbia,9411,DC
15068054,8868,10/02/2021,1:58,35933,diners-club-carte-blanche,Devbug,Lexington,Kentucky,2158,KY
42665969,4797,09/05/2021,18:47,29506,jcb,Aimbo,Syracuse,New York,4734,NY
39102397,7249,01/16/2022,3:55,72797,switch,Thoughtbeat,Honolulu,Hawaii,5393,HI
42902680,4833,09/08/2021,2:50,652,visa,Realpoint,Yonkers,New York,2721,NY
79726698,6365,08/06/2021,23:19,21566,china-unionpay,Tanoodle,Austin,Texas,2564,TX
52798661,7017,06/23/2021,11:03,66025,jcb,Kare,Oakland,California,1130,CA
59490052,7827,06/16/2021,1:18,38683,jcb,Feedfish,Washington,District of Columbia,2297,DC
21726650,2617,06/25/2021,8:35,34865,laser,Quinu,Sunnyvale,California,1809,CA
88145331,9079,10/22/2021,12:01,9332,laser,Edgeclub,Hartford,Connecticut,1687,CT
33199105,2995,08/16/2021,11:35,45967,jcb,Linklinks,Fargo,North Dakota,2125,ND
52819129,1865,12/08/2021,17:20,84989,diners-club-enroute,Aibox,Santa Cruz,California,2784,CA
51926616,8336,03/22/2022,16:50,40907,china-unionpay,Katz,Newport Beach,California,5841,CA
19135241,3352,03/31/2022,15:41,24008,visa-electron,Browsetype,Sandy,Utah,5332,UT
55919956,5601,10/04/2021,14:31,25837,americanexpress,Rhynyx,Washington,District of Columbia,4170,DC
69879385,9847,02/18/2022,14:01,10880,maestro,Latz,Richmond,California,3579,CA
23269991,2633,02/19/2022,17:04,52416,jcb,Browseblab,Asheville,North Carolina,4362,NC
92088114,6056,10/31/2021,18:31,44085,laser,Jatri,Bonita Springs,Florida,8575,FL
86698633,7168,06/11/2021,8:48,96949,jcb,Ainyx,Washington,District of Columbia,3350,DC
55110435,4491,05/18/2021,4:48,34503,china-unionpay,Skidoo,Palatine,Illinois,1308,IL
94724763,3138,05/03/2021,0:46,67819,americanexpress,Quatz,Richmond,Virginia,1410,VA
35994865,6472,02/08/2022,14:08,25197,diners-club-us-ca,Eidel,Modesto,California,7325,CA
92790652,5323,09/09/2021,17:00,92936,visa-electron,Voonyx,Miami,Florida,3944,FL
14972267,5298,01/19/2022,21:59,72565,americanexpress,Izio,Amarillo,Texas,4536,TX
38642975,9532,10/17/2021,20:24,41895,diners-club-enroute,Skalith,Fullerton,California,5430,CA
41884322,8585,04/16/2021,7:50,34365,switch,Fiveclub,Rockville,Maryland,9073,MD
70912934,4081,11/18/2021,15:28,92383,jcb,Latz,Alexandria,Virginia,7553,VA
82405451,6053,04/28/2021,6:29,55202,jcb,Zoombeat,Gainesville,Florida,2068,FL
41576469,3983,08/03/2021,13:13,15552,maestro,Kayveo,Birmingham,Alabama,3663,AL
82475055,7378,06/19/2021,0:16,84557,mastercard,Zoomlounge,Washington,District of Columbia,7279,DC
94849919,3705,07/01/2021,16:42,67835,diners-club-enroute,Shuffletag,El Paso,Texas,8956,TX
77695342,7537,04/28/2021,12:41,95161,diners-club-carte-blanche,Meemm,Boise,Idaho,9792,ID
27349225,9224,06/02/2021,19:48,68146,jcb,Babblestorm,Indianapolis,Indiana,8406,IN
30176809,3943,05/29/2021,7:00,42837,americanexpress,Oodoo,Flushing,New York,5021,NY
21117669,3620,07/31/2021,0:26,40060,jcb,Meezzy,Tulsa,Oklahoma,4450,OK
17255062,8743,01/31/2022,19:17,99328,switch,Fiveclub,Jackson,Mississippi,8212,MS
47635882,4812,07/30/2021,4:17,38455,visa,Camido,Flint,Michigan,1507,MI
56800842,7281,09/05/2021,9:20,72319,switch,Ozu,Vancouver,Washington,2399,WA
71141298,4010,03/16/2022,1:10,22676,diners-club-enroute,Skidoo,Columbus,Ohio,8604,OH
58608847,6251,03/04/2022,3:13,70937,bankcard,Edgeify,Akron,Ohio,9772,OH
87140138,1391,07/15/2021,10:57,74112,jcb,Cogilith,Milwaukee,Wisconsin,2457,WI
19161001,9321,09/08/2021,15:36,66108,jcb,Mynte,Round Rock,Texas,4944,TX
15882841,6671,11/17/2021,17:31,44800,jcb,Roodel,Simi Valley,California,1695,CA
87812269,3482,08/20/2021,0:57,22435,diners-club-carte-blanche,Trunyx,Baton Rouge,Louisiana,2272,LA
