customerNumber (CIF),cardLast4Digits,transactionDate,transactionTime,transactionAmount,transactionType,merchantName,merchantCity,merchantState,merchantZip,stateCode
51747447,1688,12/01/2021,11:38,23065,diners-club-carte-blanche,Leexo,Los Angeles,California,9810,CA
25216052,5431,05/06/2021,23:34,71989,diners-club-enroute,Voonte,Jackson,Mississippi,7583,MS
86840791,2660,03/29/2022,8:06,41916,mastercard,Kare,Fargo,North Dakota,3814,ND
14745524,9477,01/06/2022,16:44,37612,jcb,Topicblab,Washington,District of Columbia,3946,DC
73828990,8280,06/12/2021,11:21,52629,maestro,Mydo,Indianapolis,Indiana,1705,IN
92381887,4383,09/06/2021,9:42,6791,switch,Omba,Philadelphia,Pennsylvania,8517,PA
64818650,2598,11/11/2021,8:20,92323,jcb,Shufflebeat,Springfield,Massachusetts,6183,MA
57323648,8618,11/18/2021,6:02,82508,maestro,Podcat,Tallahassee,Florida,7046,FL
53491172,7783,03/09/2022,5:14,39642,jcb,Thoughtbeat,Washington,District of Columbia,4810,DC
25067959,5438,04/12/2021,23:21,25511,visa-electron,Mudo,New York City,New York,4662,NY
65958594,5155,03/03/2022,8:58,11746,laser,Edgewire,Glendale,Arizona,8252,AZ
84819994,6544,03/29/2022,9:35,86953,jcb,Youbridge,New York City,New York,7934,NY
44688044,2922,03/16/2022,5:22,54033,jcb,Jabbercube,Boston,Massachusetts,6660,MA
83234295,3133,10/31/2021,0:56,70770,americanexpress,Yadel,Maple Plain,Minnesota,8062,MN
61938852,8790,07/31/2021,20:07,89422,laser,Mita,Houston,Texas,3441,TX
49835232,7175,08/24/2021,21:50,21762,diners-club-international,Devpulse,Indianapolis,Indiana,2863,IN
70027561,9480,10/30/2021,12:45,59703,mastercard,Geba,Cincinnati,Ohio,3346,OH
58586746,1590,05/08/2021,2:26,15079,maestro,Tagopia,Minneapolis,Minnesota,6796,MN
69410229,7150,01/24/2022,14:23,34782,jcb,Pixonyx,Grand Rapids,Michigan,3934,MI
57652353,7541,01/03/2022,16:11,82897,diners-club-carte-blanche,Zoombox,Topeka,Kansas,4147,KS
68110376,5413,09/13/2021,15:39,65823,maestro,Browseblab,Aurora,Illinois,8249,IL
31292463,8797,09/23/2021,9:16,49051,jcb,Quatz,Washington,District of Columbia,3321,DC
61666711,2848,08/07/2021,4:08,67114,diners-club-carte-blanche,Edgeclub,Tampa,Florida,9615,FL
23239022,9636,02/12/2022,13:44,12609,jcb,Fiveclub,Cheyenne,Wyoming,9068,WY
62559512,8421,03/25/2022,7:04,49048,americanexpress,Babbleblab,Lubbock,Texas,6745,TX
34898243,8414,10/20/2021,10:38,98900,americanexpress,Vimbo,Louisville,Kentucky,2165,KY
17686083,1374,01/02/2022,21:36,2707,jcb,Jabberbean,Bonita Springs,Florida,6137,FL
81616829,3569,02/15/2022,21:26,53983,visa,Photolist,San Jose,California,8735,CA
66121710,8499,11/15/2021,2:40,12055,jcb,Shuffledrive,Salt Lake City,Utah,6035,UT
68395156,1355,08/24/2021,4:48,3581,diners-club-enroute,Layo,Harrisburg,Pennsylvania,8358,PA
45264514,7830,03/08/2022,7:51,32304,jcb,Mydeo,Ventura,California,5179,CA
14123107,2752,12/01/2021,0:19,55772,switch,Gabtune,El Paso,Texas,4744,TX
94275113,1144,06/22/2021,20:55,6528,bankcard,Jazzy,Dallas,Texas,5670,TX
14781580,5824,06/17/2021,0:58,33981,americanexpress,Zazio,Santa Barbara,California,2052,CA
89129317,2337,10/22/2021,7:43,29866,jcb,Jetpulse,San Jose,California,3852,CA
74579389,9662,11/29/2021,21:24,26186,bankcard,Yodo,Charleston,West Virginia,3084,WV
64013324,1475,10/18/2021,8:55,86782,solo,Tazzy,Phoenix,Arizona,7011,AZ
95763029,5407,03/31/2022,5:02,565,jcb,Muxo,Saint Paul,Minnesota,1766,MN
93454270,6469,12/07/2021,4:59,3102,jcb,Wordware,Seattle,Washington,1701,WA
67431854,9101,11/03/2021,6:26,67269,jcb,Flipopia,Cambridge,Massachusetts,5495,MA
25209338,6594,12/06/2021,23:30,65558,switch,Browsedrive,Torrance,California,6551,CA
23304532,7219,09/25/2021,6:49,97319,mastercard,Demizz,San Luis Obispo,California,1124,CA
32066670,8040,06/19/2021,17:53,28633,mastercard,Tazzy,Akron,Ohio,3209,OH
76293627,6213,05/12/2021,11:31,88223,bankcard,Oodoo,Sparks,Nevada,6744,NV
46652419,3821,10/07/2021,4:22,81381,mastercard,BlogXS,Alexandria,Virginia,6500,VA
42103895,9746,02/02/2022,21:53,67503,jcb,Kwilith,Oakland,California,3689,CA
96749084,9940,05/10/2021,11:55,47461,bankcard,Podcat,Las Vegas,Nevada,6546,NV
63559253,7544,09/15/2021,14:05,17919,maestro,Twitternation,Saint Petersburg,Florida,3127,FL
78138411,5216,10/14/2021,6:40,57424,jcb,Photobug,Syracuse,New York,8925,NY
91482274,7251,08/31/2021,17:40,81474,jcb,Avamm,North Las Vegas,Nevada,8874,NV
96548447,4935,11/20/2021,10:47,36190,jcb,Yakitri,Lynchburg,Virginia,1941,VA
54408866,8840,02/02/2022,22:21,92273,jcb,Zoombeat,San Francisco,California,9493,CA
29507451,9420,05/10/2021,5:19,65152,switch,Realbridge,Houston,Texas,6190,TX
22362952,1565,08/05/2021,12:07,88340,mastercard,Devify,Omaha,Nebraska,5598,NE
88275392,8818,04/03/2022,14:00,19235,americanexpress,Camido,Meridian,Mississippi,4311,MS
18385970,8706,06/12/2021,20:17,18135,jcb,Voolith,Jacksonville,Florida,2891,FL
96494752,5267,11/16/2021,21:07,22853,switch,Dabtype,San Jose,California,6324,CA
88313530,9479,09/12/2021,18:34,60877,maestro,Rhynoodle,Springfield,Illinois,4467,IL
15796292,2361,10/01/2021,8:04,27269,jcb,Youtags,Buffalo,New York,6130,NY
55119651,1124,12/25/2021,5:14,97831,jcb,Meemm,Aurora,Illinois,7186,IL
27979141,7024,04/21/2021,17:40,29481,americanexpress,Thoughtworks,Salt Lake City,Utah,9574,UT
45088876,9631,02/24/2022,17:27,53691,jcb,Skalith,Kansas City,Missouri,3180,MO
80732036,8091,12/18/2021,21:47,18958,diners-club-carte-blanche,Jayo,Jackson,Mississippi,9707,MS
86361812,7531,12/16/2021,18:02,81973,jcb,Voonder,Baton Rouge,Louisiana,7038,LA
38165245,7922,02/26/2022,8:03,36121,jcb,Skynoodle,Portland,Oregon,7337,OR
