customerNumber (CIF),cardLast4Digits,transactionDate,transactionTime,transactionAmount,transactionType,merchantName,merchantCity,merchantState,merchantZip,stateCode
64700996,5355,06/03/2021,10:16,55370,jcb,Kare,Chandler,Arizona,7454,AZ
57344103,7416,03/27/2022,16:39,42496,jcb,Browsezoom,Chicago,Illinois,1357,IL
72448433,6836,11/16/2021,4:15,32261,bankcard,Zooxo,Lubbock,Texas,1471,TX
91849252,3593,07/09/2021,21:12,22867,visa-electron,Midel,Baltimore,Maryland,5358,MD
41074576,7190,04/04/2022,11:18,85821,jcb,Yombu,Alexandria,Virginia,7955,VA
48078635,8947,04/26/2021,8:15,72345,jcb,BlogXS,Trenton,New Jersey,9162,NJ
19823317,1886,04/01/2022,5:52,98213,jcb,Trilia,Dayton,Ohio,2069,OH
66145591,8109,01/28/2022,22:34,14701,jcb,Youspan,Evansville,Indiana,6136,IN
52298586,4761,09/07/2021,15:46,2144,switch,Midel,Vancouver,Washington,6659,WA
83294788,5017,03/25/2022,22:04,48972,laser,Yotz,El Paso,Texas,8364,TX
83477546,8190,10/19/2021,23:18,48618,mastercard,Leenti,New York City,New York,3654,NY
58003345,7822,07/18/2021,16:22,917,mastercard,Browsezoom,Seattle,Washington,2420,WA
27355987,1280,11/03/2021,10:59,17778,jcb,Blogtags,Battle Creek,Michigan,1700,MI
61256958,6040,09/26/2021,21:38,11199,bankcard,Voomm,Boynton Beach,Florida,8662,FL
43904273,4529,07/11/2021,8:17,24492,jcb,Realblab,Mobile,Alabama,2969,AL
50247155,1849,08/23/2021,0:25,76711,laser,Midel,Grand Rapids,Michigan,8210,MI
25395761,1753,03/06/2022,20:13,10604,mastercard,Jayo,Flint,Michigan,4916,MI
81974585,3341,03/29/2022,8:00,66661,bankcard,Oyondu,El Paso,Texas,9700,TX
84908678,3362,09/08/2021,13:16,82399,jcb,Thoughtstorm,New York City,New York,2165,NY
82655165,5319,06/18/2021,7:26,47075,diners-club-carte-blanche,Tagcat,Wilkes Barre,Pennsylvania,2195,PA
79654185,9217,12/24/2021,19:20,90003,switch,Voonder,Fredericksburg,Virginia,8025,VA
24407485,7634,05/25/2021,1:16,80593,diners-club-enroute,Flashspan,Omaha,Nebraska,3042,NE
92093822,9588,08/04/2021,15:21,11287,mastercard,Bubblebox,Evansville,Indiana,7978,IN
87350070,4438,08/12/2021,19:48,48887,jcb,Skinix,Tyler,Texas,4179,TX
71241903,7468,01/29/2022,6:07,33700,visa,Zoomzone,Sacramento,California,8496,CA
97186714,1551,08/05/2021,1:07,18365,jcb,Devpoint,Kansas City,Missouri,4350,MO
41085052,9325,09/15/2021,16:58,72891,jcb,Meetz,San Antonio,Texas,1154,TX
85138875,1524,05/10/2021,17:32,10632,americanexpress,Skinte,Terre Haute,Indiana,1301,IN
15953811,8926,09/17/2021,17:59,65864,jcb,Devcast,Honolulu,Hawaii,3268,HI
86447841,4258,02/08/2022,20:20,68104,diners-club-carte-blanche,Centimia,Milwaukee,Wisconsin,8907,WI
14363513,2051,02/05/2022,23:19,80778,mastercard,Trupe,Washington,District of Columbia,6458,DC
19659836,1963,04/04/2022,15:15,8697,laser,Rhyloo,Gilbert,Arizona,7781,AZ
26200381,4684,12/02/2021,22:12,89180,jcb,Flipopia,Baton Rouge,Louisiana,1880,LA
53140517,2447,01/11/2022,1:52,18144,jcb,Oyoloo,Saint Paul,Minnesota,9566,MN
19516083,1780,08/26/2021,21:53,85385,diners-club-carte-blanche,Topicware,Sacramento,California,4025,CA
24014126,4213,08/05/2021,22:15,94045,diners-club-us-ca,Centizu,Moreno Valley,California,8978,CA
56689388,8010,12/27/2021,7:51,35440,jcb,Skalith,Newport Beach,California,4546,CA
41500858,9646,11/05/2021,16:58,33298,diners-club-us-ca,Trudeo,Fort Wayne,Indiana,6229,IN
38863887,1662,05/02/2021,3:38,95372,jcb,Avaveo,Newport News,Virginia,1202,VA
12961736,3658,07/25/2021,6:17,8037,diners-club-carte-blanche,Izio,Dayton,Ohio,6795,OH
49583858,2709,05/12/2021,11:04,69426,maestro,Oyoloo,Houston,Texas,8792,TX
13049211,3212,04/30/2021,3:26,48494,diners-club-carte-blanche,Twitternation,Lexington,Kentucky,6947,KY
68049462,9011,04/07/2021,9:41,8541,jcb,Npath,Fairbanks,Alaska,1591,AK
59935437,8306,08/30/2021,21:10,39926,visa,Skilith,Austin,Texas,7314,TX
34192604,6643,03/05/2022,8:18,53873,jcb,Divavu,Newark,Delaware,6723,DE
